timestamp,test-class,test-method,time,description,result
2021-09-09 20:48:46.292,acme.testing.anonymous.nft.AnonymousListNftTest,list,7172,"[1] recordIndex=0, author=JoanMir, info=null, text=Empty nft, salary=null, ignoreNft=false, lineDead=2022/04/09 00:00",OK
2021-09-09 20:48:50.883,acme.testing.anonymous.nft.AnonymousListNftTest,list,4319,"[2] recordIndex=0, author=JoanMir, info=https://corframework.com, text=Empty nft, salary=null, ignoreNft=false, lineDead=2022/04/09 00:00",OK
2021-09-09 20:48:55.374,acme.testing.anonymous.nft.AnonymousListNftTest,list,4235,"[3] recordIndex=0, author=Joselu, info=null, text=Prueba el omori, salary=EUR 20.00, ignoreNft=true, lineDead=2022/04/09 00:00",OK
2021-09-09 20:49:00.021,acme.testing.anonymous.nft.AnonymousListNftTest,list,4398,"[4] recordIndex=0, author=Joselu, info=null, text=Sin fecha, salary=EUR 20.00, ignoreNft=false, lineDead=2022/04/09 00:00",OK
2021-09-09 20:49:04.544,acme.testing.anonymous.nft.AnonymousListNftTest,list,4195,"[5] recordIndex=0, author=Joselu, info=null, text=Sin money, salary=null, ignoreNft=false, lineDead=2022/04/09 00:00",OK
2021-09-09 20:49:08.92,acme.testing.anonymous.nft.AnonymousListNftTest,list,4149,"[6] recordIndex=0, author=Pedro, info=null, text=¿un valorant?, salary=USD 20.00, ignoreNft=false, lineDead=2022/05/06 00:00",OK
2021-09-09 20:49:13.303,acme.testing.anonymous.nft.AnonymousListNftTest,list,4140,"[7] recordIndex=0, author=Jose M, info=null, text=*trabajando*, salary=GBP 10.00, ignoreNft=true, lineDead=2022/04/14 00:00",OK
2021-09-09 20:49:17.747,acme.testing.anonymous.nft.AnonymousListNftTest,list,4217,"[8] recordIndex=0, author=Juan Gil, info=null, text=*descansando*, salary=EUR 0.00, ignoreNft=true, lineDead=2022/05/20 00:00",OK
2021-09-09 20:49:22.141,acme.testing.anonymous.nft.AnonymousListNftTest,list,4156,"[9] recordIndex=0, author=Andres, info=null, text=*testing positive*, salary=USD 9.02, ignoreNft=true, lineDead=2021/12/12 09:20",OK
2021-09-09 20:49:26.572,acme.testing.anonymous.nft.AnonymousListNftTest,list,4210,"[10] recordIndex=0, author=Leiva, info=null, text=*min money amount positive*, salary=EUR 3.01, ignoreNft=true, lineDead=2021/12/12 09:20",OK
